# vehicleid bank1 bank2

411 1 2 
415 165 166 
541 5 6 
466 7 8
494 9 10 
543 11 12 
2549 13 14 
579 15 16 
2551 13 14 
2552 17 18 
562 19 20 
402 21 22
2550 23 24 
419 25 26 
529 27 28
491 27 28
492 27 28
439 27 28 
585 27 28
404 29 30 
458 35 36 
401 29 30
412 29 30
558 31 32 
560 33 34 
565 35 36 
506 37 38 
533 39 40
502 41 42 
505 43 44 
405 45 46 
503 47 48 
526 49 50 
527 51 52 
534 53 54 
551 55 56
587 57 58 
400 59 60
410 61 62 
436 63 64 
2543 65 66 
445 67 68 
468 69 70 
2557 71 72 
475 73 74 
420 75 76 
2545 75 76 
507 77 78 
521 79 80 
480 81 82 
2570 83 84 
2569 83 84 
461 85 86 
463 87 88
603 89 90 
495 91 92 
470 93 94 
499 93 94
414 95 96 
479 97 98 
433 99 100
407 99 100
2554 101 102 
522 103 104 
2548 105 106 
477 107 108
540 109 110 
451 111 112 
2546 113 114 
467 115 116 
416 117 118 
2587 117 118
483 117 118
542 119 120 
604 121 122 
462 123 124 
2572 125 126
490 127 128
2563 129 130
2564 129 130
581 131 132 
2547 133 134 
559 135 136
549 137 138
547 137 138
589 139 140
496 141 142 
438 157 158 
516 143 144
2571 145 146
536 147 148
442 149 150
489 151 152 
523 153 154
586 153 154 
555 137 138 
403 155 156
426 51 52
429 21 22 
2559 43 44 
2544 65 66 
2553 73 74
550 157 158
421 171 172
413 117 118
418 117 118
427 117 118
428 117 118
440 117 118
456 117 118
459 117 118
2555 27 28
2556 27 28
2558 129 130
2560 101 102
2561 101 102
2562 101 102
2568 73 74
2565 27 28
2566 27 28
525 117 118
582 117 118
596 7 8
597 27 28
598 143 144
2567 7 8
2573 15 16
2574 59 60
2575 133 134
2576 161 162
2577 163 164
2578 7 8
2579 7 8
2580 51 52
2581 65 66
2582 61 62
2583 129 130
2584 157 158
2585 167 168
2586 169 170
500 93 94
2592 55 56
438 97 98
2593 13 14
2594 33 34
2595 37 38
2596 91 92
2597 129 130
2598 31 32
2599 7 8
2600 7 8
2601 83 84
2602 43 44
2603 21 22
2604 157 158
2591 7 8
2605 5 6 
2606 89 90
2607 89 90
2608 91 92 
2609 33 34 
2610 51 52
2611 51 52
2612 89 90 
2613 91 92 
2614 5 6 
2615 69 70 
448 69 70 
2616 119 120 
2617 93 94 
2618 51 52
2619 5 6
2620 31 32
2621 65 66
2622 65 66
2623 157 158
